game_id,country_code,draw_date,draw_number,main_1,main_2,main_3,main_4,main_5,main_6,main_7,bonus_1,bonus_2
jp_loto6,JP,2022-12-08,135,8,11,23,28,36,39,,6,
jp_loto6,JP,2022-12-05,134,1,9,11,14,15,40,,32,
jp_loto6,JP,2022-12-01,133,3,11,14,22,27,32,,31,
jp_loto6,JP,2022-11-28,132,7,9,10,21,39,40,,32,
jp_loto6,JP,2022-11-24,131,1,8,21,25,26,35,,20,
jp_loto6,JP,2022-11-21,130,3,17,18,19,20,42,,9,
jp_loto6,JP,2022-11-17,129,16,20,22,29,33,40,,25,
jp_loto6,JP,2022-11-14,128,4,14,17,19,22,42,,6,
jp_loto6,JP,2022-11-10,127,14,21,24,27,31,38,,5,
jp_loto6,JP,2022-11-07,126,1,7,12,36,37,39,,41,
jp_loto6,JP,2022-11-03,125,7,12,20,31,33,43,,14,
jp_loto6,JP,2022-10-31,124,12,14,22,24,29,33,,3,
jp_loto6,JP,2022-10-27,123,6,9,25,26,27,32,,11,
jp_loto6,JP,2022-10-24,122,1,21,24,33,40,41,,12,
jp_loto6,JP,2022-10-20,121,5,6,11,19,28,35,,42,
jp_loto6,JP,2022-10-17,120,22,24,25,27,29,39,,7,
jp_loto6,JP,2022-10-13,119,3,18,19,34,38,42,,14,
jp_loto6,JP,2022-10-10,118,3,7,19,21,32,35,,6,
jp_loto6,JP,2022-10-06,117,4,8,16,21,22,26,,23,
jp_loto6,JP,2022-10-03,116,11,15,24,25,28,31,,9,
jp_loto6,JP,2022-09-29,115,4,8,14,18,26,38,,3,
jp_loto6,JP,2022-09-26,114,3,13,16,22,33,42,,15,
jp_loto6,JP,2022-09-22,113,9,14,16,21,27,43,,26,
